dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-07,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,20.0,0.0,0.0,0.0,42.9,8.19,367.63
2023-07-06,499950777,11823006052,Baby & Kids Fashion,Boy Shoes,6.0,49.9,27.0,1446.3,49.9,3.47,200.34
2023-07-10,326422347,16584597797,Shoes,Sneakers,6.0,70.99,0.0,0.0,73.9,7.94,601.68
2023-07-07,588834123,13153675000,Shoes,Boots,22.0,118.9,6.0,785.38,118.9,0.07,9.43
2023-07-04,578977418,14218806390,Men Clothes,Jeans,10.0,55.0,13.0,800.29,55.0,1.17,69.74
2023-07-04,661543932,14642418245,Men Clothes,Pants,18.0,79.9,7.5,831.51,79.9,1.03,113.01
2023-07-07,428697486,16618914091,Women Clothes,"Jackets, Coats & Vests",18.0,0.0,0.0,0.0,43.9,3.83,190.34
2023-07-08,499950777,8184633529,Baby & Kids Fashion,Girl Shoes,10.0,56.9,4.0,263.89,58.9,0.37,21.73
2023-07-10,499950777,14163042893,Baby & Kids Fashion,Girl Shoes,18.0,76.9,0.0,0.0,76.9,0.17,14.91
2023-07-08,441234830,11186373013,Bags,Backpacks,20.0,59.9,0.0,0.0,69.9,0.0,0.0
2023-07-06,417489596,15582946065,Women Clothes,Sports & Outdoor Apparels,12.0,42.99,15.0,780.69,44.99,3.66,206.3
2023-07-06,379659209,21024246808,Bags,Backpacks,0.0,75.99,4.0,294.38,75.99,0.62,45.24
2023-07-09,441966737,10234982145,Women Clothes,Pants & Leggings,12.0,29.9,10.0,419.1,29.9,9.27,342.6
2023-07-07,666675756,12785993196,Men Clothes,Tops,12.0,39.9,56.5,2319.7,43.9,0.97,45.55
2023-07-11,358675294,19073260928,Underwear & Sleepwear,Women Underwear,20.0,0.0,0.0,0.0,59.9,6.11,390.25
2023-07-06,443808233,18263390723,Men Clothes,Tops,18.0,59.99,10.1,907.73,59.99,0.92,76.04
2023-07-11,329076450,7979316201,Shoes,Sneakers,14.0,0.0,0.0,0.0,59.9,1.0,65.16
2023-07-04,493109554,18302233355,Shoes,Sandals & Flip Flops,14.0,39.99,31.5,1312.43,44.9,1.48,77.68
2023-07-07,218569440,12696012572,Underwear & Sleepwear,Sleepwear,14.0,0.0,0.0,0.0,49.99,0.37,19.33
2023-07-07,341167297,19474748381,Baby & Kids Fashion,Boy Clothes,22.0,164.9,8.5,1531.11,0.0,0.0,0.0
2023-07-11,356114339,13234578523,Men Clothes,Hoodies & Sweatshirts,18.0,52.9,26.0,1547.94,52.9,1.92,125.35
2023-07-08,311203232,10339037198,Men Clothes,Pants,6.0,74.9,0.0,0.0,74.9,0.13,14.57
2023-07-07,416252641,12733735848,Fashion Accessories,Bracelets & Bangles,10.0,0.0,0.0,0.0,39.99,0.47,20.37
2023-07-11,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,14.0,42.9,20.0,1028.51,42.9,10.52,456.99
2023-07-11,461121027,16891292152,Bags,Crossbody & Shoulder Bags,0.0,65.99,0.0,0.0,69.0,0.5,35.55
2023-07-09,499950777,11123037343,Baby & Kids Fashion,Boy Shoes,10.0,54.99,0.0,0.0,0.0,0.0,0.0
2023-07-07,351590697,20731235085,Baby & Kids Fashion,Boy Shoes,21.0,67.99,0.0,0.0,0.0,0.0,0.0
2023-07-07,311203232,10339037198,Men Clothes,Pants,17.0,69.9,11.0,788.76,0.0,0.0,0.0
2023-07-11,524873715,18598438726,Women Clothes,"Jackets, Coats & Vests",12.0,0.0,0.0,0.0,79.99,0.13,10.48
2023-07-07,477108417,17093814458,Women Clothes,"Jackets, Coats & Vests",19.0,139.99,22.0,3763.86,0.0,0.0,0.0
2023-07-07,309832920,3453556507,Shoes,Sneakers,16.0,54.99,60.5,3737.73,59.99,1.03,68.44
2023-07-11,424871094,21941078377,Women Clothes,Tops,18.0,53.99,12.0,723.79,54.99,0.9,45.83
